City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,stanley,54.868,-1.6985,12.38,89,75,2.57,GB,1717472068
83,susanville,40.4163,-120.653,16.57,60,100,2.24,US,1717472068
84,badger,64.8,-147.5333,20.95,37,75,2.06,US,1717472068
85,utrik,11.2278,169.8474,28.13,78,100,8.73,MH,1717472069
86,ilam,26.9167,87.9167,25.9,71,25,2.41,NP,1717472069
87,al bawiti,28.3492,28.8659,24.14,34,0,1.97,EG,1717472069
88,martapura,-3.4167,114.85,26.05,89,40,3.09,ID,1717472069
89,desterro,-7.2906,-37.0939,19.45,96,40,3.33,BR,1717472069
90,kholmsk,47.0511,142.0569,16.0,58,100,2.68,RU,1717472070
91,banda aceh,5.5577,95.3222,30.06,65,100,1.97,ID,1717472070
92,keetmanshoop,-26.5833,18.1333,4.51,93,0,0.0,NA,1717472070
93,anadyr,64.75,177.4833,12.28,32,0,8.0,RU,1717472070
94,puerto natales,-51.7236,-72.4875,-3.06,92,99,1.19,CL,1717471923
95,la'ie,21.6477,-157.9253,27.98,81,2,3.13,US,1717471920
96,poronaysk,49.2167,143.1167,8.32,82,100,3.64,RU,1717472071
97,college,64.8569,-147.8028,20.99,41,75,2.06,US,1717472071
98,avarua,-21.2078,-159.775,24.03,64,40,2.57,CK,1717472071
99,saldanha,-33.0117,17.9442,16.03,95,46,4.06,ZA,1717472072
100,baihe,22.15,107.2333,31.09,73,92,1.0,CN,1717472072
101,ostersund,63.1792,14.6357,7.25,93,96,1.03,SE,1717472072
102,san-pedro,4.7485,-6.6363,25.01,91,100,2.62,CI,1717472072
103,kodiak,57.79,-152.4072,7.73,76,100,2.06,US,1717472072
104,mournies,35.4764,24.0092,22.68,64,0,1.54,GR,1717472073
105,pagar alam,-4.0167,103.2667,28.66,60,100,2.04,ID,1717472073
106,kirakira,-10.4544,161.9205,28.31,82,30,1.06,SB,1717472073
107,buka,40.8108,69.1986,25.79,39,6,3.71,UZ,1717472073
108,al wafrah,28.6392,47.9306,35.45,9,0,7.78,KW,1717472074
109,tyazhinskiy,56.116,88.524,10.33,92,100,6.64,RU,1717472074
110,blythe,33.6103,-114.5964,36.25,12,0,6.17,US,1717472074
111,olonkinbyen,70.9221,-8.7187,0.57,91,68,11.74,SJ,1717472074
112,ola,59.5833,151.2833,7.3,72,84,4.61,RU,1717472074
113,hamilton,39.1834,-84.5333,22.35,86,0,0.0,US,1717472042
114,qaqortoq,60.7167,-46.0333,3.84,87,89,1.05,GL,1717472075
115,ushuaia,-54.8,-68.3,2.81,87,100,1.03,AR,1717471997
116,nasiriyah,31.0521,46.261,34.69,13,0,7.68,IQ,1717472075
117,palmer,42.1584,-72.3287,19.98,69,0,2.06,US,1717472031
